Code CAIRN,Titre,Sous-titre,Editeur,Disciplines,URL
MHC,1895,Revue d'histoire du cinéma,AFRHC,Arts; Histoire,https://shs.cairn.info/revue-1895?lang=fr
VIN,20 & 21. Revue d'histoire,,Presses de Sciences Po,Histoire; Science politique,https://shs.cairn.info/revue-vingt-et-vingt-et-un-revue-d-histoire?lang=fr
GRH,@GRH,,Association de Gestion des Ressources Humaines,Gestion,https://shs.cairn.info/revue-agrh1?lang=fr
ACO,A contrario,Revue interdisciplinaire de sciences sociales,BSN Press,Anthropologie; Science politique; Sociologie,https://shs.cairn.info/revue-a-contrario?lang=fr
ACCRA,ACCRA,Audit Comptabilité Contrôle : Recherches Appliquées,Association Francophone de Comptabilité,Gestion,https://shs.cairn.info/revue-accra?lang=fr
ARSS,Actes de la recherche en sciences sociales,,Le Seuil,Anthropologie; Sociologie,https://shs.cairn.info/revue-actes-de-la-recherche-en-sciences-sociales?lang=fr
APRP,Action publique. Recherche et pratiques,,Institut de la gestion publique et du développement économique,Science politique,https://droit.cairn.info/revue-action-publique-recherche-et-pratiques?lang=fr
AATC,Actualités en analyse transactionnelle,,Institut français d'analyse transactionnelle,Psychologie,https://shs.cairn.info/revue-actualites-en-analyse-transactionnelle?lang=fr
AMX,Actuel Marx,,Presses Universitaires de France,Économie; Philosophie; Science politique,https://shs.cairn.info/revue-actuel-marx?lang=fr
ADEN,Aden,Paul Nizan et les années trente,Association de la revue Aden,Histoire; Littérature,https://shs.cairn.info/revue-aden?lang=fr
ADMI,Administration,Revue de l'administration territoriale de l'État,L'Association du Corps préfectoral,Science politique,https://droit.cairn.info/revue-administration?lang=fr
ADMED,Administration & Éducation,,Association Française des Acteurs de l'Éducation,Science politique; Sciences de l'éducation,https://shs.cairn.info/revue-administration-et-education?lang=fr
ADOG,Adogma,,Association des Libres Penseurs de France,Intérêt général; Philosophie; Religions et spiritualité,https://shs.cairn.info/revue-adogma?lang=fr
ADO,Adolescence,,Éditions GREUPP,Psychologie,https://shs.cairn.info/revue-adolescence?lang=fr
AEDESP,ADSP,Actualité et dossier en santé publique,Presses de l'EHESP,Santé publique,https://stm.cairn.info/revue-actualite-et-dossier-en-sante-publique?lang=fr
AFCUL,Africultures,La revue des cultures africaines,Africultures,Arts,https://shs.cairn.info/revue-africultures?lang=fr
AFHI,Afrique & histoire,,Verdier,Histoire,https://shs.cairn.info/revue-afrique-et-histoire?lang=fr
AFCO1,Afrique contemporaine,La revue de l'Afrique et du développement,Association Afrique contemporaine,Géographie; Science politique,https://shs.cairn.info/revue-afrique-contemporaine?lang=fr
AEM,Afrique(s) en mouvement,,Université Internationale de Rabat,Science politique; Sociologie,https://shs.cairn.info/revue-afrique-en-mouvement?lang=fr
AGEN,Agencements,Recherches et pratiques sociales en expérimentation,Éditions du Commun,Arts; Sociologie; Travail social,https://shs.cairn.info/revue-agencements?lang=fr
AGONE,Agone,"Histoire, Politique & Sociologie",Agone,Intérêt général; Science politique; Sociologie,https://shs.cairn.info/revue-agone?lang=fr
AGORA,Agora débats/jeunesses,,Presses de Sciences Po,Sciences de l'éducation; Sociologie,https://shs.cairn.info/revue-agora-debats-jeunesses?lang=fr
ALL,Allemagne d'aujourd'hui,Revue d'information et de recherche sur l'Allemagne,Presses universitaires du Septentrion,Science politique,https://shs.cairn.info/revue-allemagne-d-aujourd-hui?lang=fr
ANV,Alternatives Non-Violentes,,Alternatives Non-Violentes,Science politique; Sociologie,https://shs.cairn.info/revue-alternatives-non-violentes?lang=fr
AMLA,Amérique latine,"Politique, Sociétés, Histoire",Association Amérique Latine,Science politique; Sociologie,https://shs.cairn.info/revue-amerique-latine?lang=fr
ANBR,Analecta Bruxellensia,,FUTP,Religions et spiritualité,https://shs.cairn.info/revue-analecta-bruxellensia?lang=fr
AFP,Analyse Freudienne Presse,,érès,Psychologie,https://shs.cairn.info/revue-analyse-freudienne-presse?lang=fr
AHAA,Annales d'Histoire de l'Art et d'Archéologie,,Editechnart,Arts; Histoire,https://shs.cairn.info/revue-annales-dhistoire-de-lart-et-darcheologie?lang=fr
ANBO,Annales de Bourgogne,,Éditions Universitaires de Dijon,Histoire,https://shs.cairn.info/revue-annales-de-bourgogne?lang=fr
ABPO,Annales de Bretagne et des pays de l'Ouest,Anjou. Maine. Poitou-Charente. Touraine,Presses universitaires de Rennes,Histoire,https://shs.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest?lang=fr
ADH1,Annales de démographie historique,,Armand Colin,Histoire,https://shs.cairn.info/revue-annales-de-demographie-historique-1?lang=fr
AG,Annales de géographie,,Armand Colin,Géographie,https://shs.cairn.info/revue-annales-de-geographie?lang=fr
ANNOR,Annales de Normandie,,Association Les Annales de Normandie,Histoire,https://shs.cairn.info/revue-annales-de-normandie?lang=fr
RINDU1,Annales des Mines,"Réalités industrielles - Recherches, débats, actions",Institut Mines-Télécom,Économie,https://stm.cairn.info/revue-realites-industrielles?lang=fr
RE1,Annales des Mines,"Responsabilité & environnement - Recherches, débats, actions",Institut Mines-Télécom,Économie; Géographie; Gestion,https://stm.cairn.info/revue-responsabilite-et-environnement?lang=fr
GECO1,Annales des Mines,Gérer & comprendre,Institut Mines-Télécom,Gestion,https://shs.cairn.info/revue-gerer-et-comprendre?lang=fr
ENNU,Annales des Mines,Enjeux numériques,Institut Mines-Télécom,"Info, Communication",https://stm.cairn.info/revue-enjeux-numeriques?lang=fr
AHE,Annales historiques de l'électricité,,Victoires éditions,Histoire,https://shs.cairn.info/revue-annales-historiques-de-l-electricite?lang=fr
AHRF,Annales historiques de la Révolution française,,Armand Colin,Histoire,https://shs.cairn.info/revue-annales-historiques-de-la-revolution-francaise?lang=fr
ANNA,"Annales. Histoire, Sciences Sociales",,Éditions de l'EHESS,Anthropologie; Histoire; Sociologie,https://shs.cairn.info/revue-annales?lang=fr
ACP,Approche Centrée sur la Personne. Pratique et recherche,,ACP-PR,Psychologie,https://shs.cairn.info/revue-approche-centree-sur-la-personne?lang=fr
ATIC,Approches Théoriques en Information-Communication (ATIC),,DICEN IdF,"Gestion; Info, Communication",https://shs.cairn.info/revue-approches-theoriques-en-information-communication?lang=fr
APDEM,Après-demain,,Fondation Seligmann,Intérêt général; Science politique,https://shs.cairn.info/revue-apres-demain?lang=fr
ARSC,ArcheoSciences,,Presses universitaires de Rennes,Histoire,https://shs.cairn.info/revue-archeosciences?lang=fr
AHDLM,Archives d'histoire doctrinale et littéraire du Moyen Âge,,Vrin,Histoire; Littérature; Philosophie,https://shs.cairn.info/revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age?lang=fr
APHI,Archives de philosophie,Recherches et documentation,Facultés Loyola Paris,Philosophie,https://shs.cairn.info/revue-archives-de-philosophie?lang=fr
APD,Archives de philosophie du droit,,Dalloz,Philosophie,https://droit.cairn.info/revue-archives-de-philosophie-du-droit?lang=fr
APC,Archives de politique criminelle,,Éditions Pédone,Science politique,https://droit.cairn.info/revue-archives-de-politique-criminelle?lang=fr
ASSR,Archives de sciences sociales des religions,,Éditions de l'EHESS,Anthropologie; Religions et spiritualité; Sociologie,https://shs.cairn.info/revue-archives-de-sciences-sociales-des-religions?lang=fr
AJ1,Archives Juives,Revue d'histoire des Juifs de France,Presses Universitaires de France,Histoire,https://shs.cairn.info/revue-archives-juives?lang=fr
RATH,Art et thérapie,,INECAT Art et thérapie,Arts; Psychologie,https://shs.cairn.info/revue-art-et-therapie?lang=fr
AUDI,Audimat,,Audimat Éditions,Arts,https://shs.cairn.info/revue-audimat?lang=fr
AUTR,Autrepart,Revue de sciences sociales au Sud,Presses de Sciences Po,Géographie; Sociologie,https://shs.cairn.info/revue-autrepart?lang=fr
BALL,Ballast,"Tenir tête, fédérer, amorcer",Hors d'atteinte,Intérêt général; Sociologie,https://shs.cairn.info/revue-ballast?lang=fr
BMI,"Bankers, Markets & Investors",,ESKA,Économie; Gestion,https://shs.cairn.info/revue-bankers-markets-et-investors?lang=fr
BIFU,Bifurcation/s,,Éditions du Croquant,Science politique; Sociologie,https://shs.cairn.info/revue-bifurcations?lang=fr
BLUE,BLUE,Bulletin des Élections de l'Union Européenne,Groupe d'études géopolitiques,Science politique,https://shs.cairn.info/revue-blue?lang=fr
BHESV,Bulletin d'histoire et d'épistémologie des sciences de la vie,,Éditions Kimé,Histoire; Philosophie,https://stm.cairn.info/revue-bulletin-d-histoire-et-d-epistemologie-des-sciences-de-la-vie?lang=fr
BEO,Bulletin d'études orientales,,Presses de l'Ifpo,Histoire,https://shs.cairn.info/revue-bulletin-d-etudes-orientales?lang=fr
PEGUY,Bulletin de l'Amitié Charles Péguy,,L'Amitié Charles Péguy,Littérature,https://shs.cairn.info/l-amitie-charles-peguy?lang=fr
BSFE,Bulletin de la société française d'égyptologie,,Société française d'égyptologie,Histoire,https://shs.cairn.info/revue-bulletin-de-la-societe-francaise-degyptologie?lang=fr
BUPSY,Bulletin de psychologie,,Groupe d'études de psychologie,Psychologie,https://shs.cairn.info/revue-bulletin-de-psychologie?lang=fr
BUBIB,Bulletin du bibliophile,,Éditions du Cercle de la Librairie,Histoire; Littérature,https://shs.cairn.info/revue-bulletin-du-bibliophile?lang=fr
BULHIS,Bulletin Hispanique,,Presses universitaires de Bordeaux,Histoire; Linguistique; Littérature,https://shs.cairn.info/revue-bulletin-hispanique?lang=fr
BRUX,Cahiers Bruxellois – Brusselse Cahiers,Revue d'histoire urbaine – Tijdschrift voor stadsgeschiedenis,Archives de la Ville de Bruxelles,Histoire,https://shs.cairn.info/revue-cahiers-bruxellois?lang=fr
CCP,Cahiers critiques de philosophie,,Hermann,Philosophie,https://shs.cairn.info/revue-cahiers-critiques-de-philosophie?lang=fr
CTF,Cahiers critiques de thérapie familiale et de pratiques de réseaux,,De Boeck Supérieur,Psychologie,https://shs.cairn.info/revue-cahiers-critiques-de-therapie-familiale?lang=fr
CADA,Cahiers d'Addoc,,ADDOC - Association des cinéastes documentaristes,Arts,https://shs.cairn.info/revue-cahiers-d-addoc?lang=fr
CAS,Cahiers d'anthropologie sociale,,Éditions de l'Herne,Anthropologie,https://shs.cairn.info/revue-cahiers-d-anthropologie-sociale?lang=fr
CHA,Cahiers d'histoire de l'aluminium,Journal for the History of Aluminium,Institut pour l'Histoire de l'Aluminium,Histoire,https://stm.cairn.info/revue-cahiers-d-histoire-de-l-aluminium?lang=fr
CMR1,"Cahiers d'histoire russe, est-européenne, caucasienne et centrasiatique",,Éditions de l'EHESS,Histoire,https://shs.cairn.info/revue-cahiers-d-histoire-russe-et-est-europeenne?lang=fr
CEP1,Cahiers d'économie politique,Histoire de la pensée et théories,Hermann,Économie,https://shs.cairn.info/revue-cahiers-d-economie-politique?lang=fr
CEA,Cahiers d'études africaines,,Éditions de l'EHESS,Anthropologie; Sociologie,https://shs.cairn.info/revue-cahiers-d-etudes-africaines?lang=fr
CEHM,Cahiers d'études hispaniques médiévales,,ENS Éditions,Histoire; Linguistique; Littérature,https://shs.cairn.info/revue-cahiers-d-etudes-hispaniques-medievales?lang=fr
CCM,Cahiers de civilisation médiévale,IXe-XIIIe siècle,Université de Poitiers,Histoire,https://shs.cairn.info/revue-cahiers-de-civilisation-medievale?lang=fr
CDC,Cahiers de Conflits,,Revue Conflits,Science politique,https://shs.cairn.info/revue-cahiers-de-conflits?lang=fr
CDD,Cahiers de danse,,La Briqueterie / CDCN du Val-de-Marne,Arts,https://shs.cairn.info/revue-cahiers-de-danse?lang=fr
CGES,Cahiers de Gestalt-thérapie,,Collège européen de Gestalt-thérapie,Psychologie,https://shs.cairn.info/revue-cahiers-de-gestalt-therapie?lang=fr
CACT,Cahiers de l'action,"Conforter les pratiques, croiser les connaissances",Institut national de la jeunesse et de l'éducation populaire,Sciences de l'éducation; Travail social,https://shs.cairn.info/revue-cahiers-de-l-action?lang=fr
CEAD,Cahiers de l'enfance et de l'adolescence,,érès,Psychologie; Travail social,https://shs.cairn.info/revue-cahiers-de-l-enfance-et-de-l-adolescence?lang=fr
IREA,Cahiers de l'IREA,,L'Harmattan,Science politique; Sociologie,https://shs.cairn.info/revue-cahiers-de-l-irea?lang=fr
CLCD,Cahiers de la LCD,Lutte Contre les Discriminations,L'Harmattan,Science politique; Sociologie; Travail social,https://shs.cairn.info/revue-cahiers-de-la-lcd-lutte-contre-les-discriminations?lang=fr
CSJ,Cahiers de la sécurité et de la justice,,Institut des hautes études du ministère de l'Intérieur,Science politique,https://droit.cairn.info/revue-cahiers-de-la-securite-et-de-la-justice?lang=fr
CAPRE1,Cahiers de PréAut,,érès,Psychologie,https://shs.cairn.info/revue-cahiers-de-preaut?lang=fr
CPC,Cahiers de psychologie clinique,,De Boeck Supérieur,Psychologie,https://shs.cairn.info/revue-cahiers-de-psychologie-clinique?lang=fr
CDR,Cahiers de récits,,Éditions des Universités de Technologie,Histoire,https://stm.cairn.info/revue-cahiers-de-recits?lang=fr
CDGE,Cahiers du Genre,,Association Féminin Masculin Recherches,Sociologie,https://shs.cairn.info/revue-cahiers-du-genre?lang=fr
CISL,Cahiers internationaux de sociolinguistique,,L'Harmattan,Linguistique,https://shs.cairn.info/revue-cahiers-internationaux-de-sociolinguistique?lang=fr
CIS,Cahiers internationaux de sociologie,,Presses Universitaires de France,Sociologie,https://shs.cairn.info/revue-cahiers-internationaux-de-sociologie?lang=fr
CISP,Cahiers ISPOLE,,Université catholique de Louvain,Science politique,https://shs.cairn.info/revue-cahiers-ispole?lang=fr
CJ,Cahiers Jaurès,,Société d'études jaurésiennes,Histoire,https://shs.cairn.info/revue-cahiers-jaures?lang=fr
CJUNG,Cahiers jungiens de psychanalyse,,Cahiers jungiens de psychanalyse,Psychologie,https://shs.cairn.info/revue-cahiers-jungiens-de-psychanalyse?lang=fr
CAPH1,Cahiers philosophiques,,Vrin,Philosophie,https://shs.cairn.info/revue-cahiers-philosophiques?lang=fr
CPM,Cahiers Pierre Michon,,Presses universitaires de Rennes,Littérature,https://shs.cairn.info/revue-cahiers-pierre-michon?lang=fr
CPHD,Cahiers poitevins d'histoire du droit,,Presses universitaires juridiques de Poitiers,Histoire,https://droit.cairn.info/revue-cahiers-poitevins-d-histoire-du-droit?lang=fr
CAPE,Cahiers pédagogiques,,CRAP - Cahiers pédagogiques,Sciences de l'éducation; Travail social,https://shs.cairn.info/revue-cahiers-pedagogiques?lang=fr
CSP,Cahiers Sens public,,Association Sens-Public,Intérêt général,https://shs.cairn.info/revue-cahiers-sens-public?lang=fr
CRPSY,Cancer(s) et psy(s),,érès,Psychologie; Santé publique,https://stm.cairn.info/revue-cancers-et-psys?lang=fr
CNMI,Carnet de notes sur les maltraitances infantiles,,Office de la naissance et de l'enfance,Psychologie; Santé publique; Sciences de l'éducation,https://shs.cairn.info/revue-carnet-de-notes-sur-les-maltraitances-infantiles?lang=fr
CDLE,Carrefours de l'éducation,,Armand Colin,Sciences de l'éducation,https://shs.cairn.info/revue-carrefours-de-l-education?lang=fr
LCDC1,CEVIPOL Working Papers,,Centre d'étude de la vie politique (CEVIPOL),Science politique,https://shs.cairn.info/revue-cevipol-working-papers?lang=fr
CHLA,Champ lacanien,Revue de psychanalyse,EPFCL-France,Psychologie,https://shs.cairn.info/revue-champ-lacanien?lang=fr
CHEV2,Che vuoi ?,Revue de psychanalyse,érès,Psychologie,https://shs.cairn.info/revue-che-vuoi?lang=fr
CHIME,Chimères,Revue des schizoanalyses,érès,Arts; Philosophie; Psychologie,https://shs.cairn.info/revue-chimeres?lang=fr
CHRI,Christus,,S.E.R.,Religions et spiritualité,https://shs.cairn.info/revue-christus?lang=fr
CHII,Chronique Internationale de l'IRES,,I.R.E.S.,Économie; Science politique,https://shs.cairn.info/revue-chronique-internationale-de-l-ires?lang=fr
CHM,Chroniques d'histoire maçonnique,,Grand Orient de France,Histoire; Religions et spiritualité,https://shs.cairn.info/revue-chroniques-d-histoire-maconnique?lang=fr
CDAP,Chroniques de l'administration publique,,Institut national du service public,Science politique,https://droit.cairn.info/revue-chroniques-de-l-administration-publique?lang=fr
CITE,Cités,"Philosophie, Politique, Histoire",Presses Universitaires de France,Intérêt général; Philosophie,https://shs.cairn.info/revue-cites?lang=fr
CIVI,Civilisations,Revue internationale d'anthropologie et de sciences humaines,Université libre de Bruxelles,Anthropologie; Sociologie,https://shs.cairn.info/revue-civilisations?lang=fr
CIVIT,Civitas Europa,,IRENEE / Université de Lorraine,Science politique,https://droit.cairn.info/revue-civitas-europa?lang=fr
CLARA,CLARA,Architecture/Recherche,Éditions de la Faculté d'Architecture La Cambre Horta,Arts,https://shs.cairn.info/revue-clara?lang=fr
CLINI,Cliniques,Paroles de praticiens en institution,érès,Psychologie,https://shs.cairn.info/revue-cliniques?lang=fr
CM,Cliniques méditerranéennes,,érès,Psychologie,https://shs.cairn.info/revue-cliniques-mediterraneennes?lang=fr
CLIO1,"Clio. Femmes, Genre, Histoire",,Belin,Anthropologie; Histoire,https://shs.cairn.info/revue-clio-femmes-genre-histoire?lang=fr
CLIOP,Cliopsy,,Association Cliopsy,Psychologie; Sciences de l'éducation,https://shs.cairn.info/revue-cliopsy?lang=fr
COMM,Commentaire,,Commentaire SA,Intérêt général; Science politique,https://shs.cairn.info/revue-commentaire?lang=fr
COMLA1,Communication & langages,,Presses Universitaires de France,"Info, Communication",https://shs.cairn.info/revue-communication-et-langages?lang=fr
COMMA,Communication & management,Revue internationale des sciences commerciales,ESKA,"Gestion; Info, Communication",https://shs.cairn.info/revue-communication-et-management?lang=fr
COMOR,Communication & Organisation,,Presses universitaires de Bordeaux,"Gestion; Info, Communication",https://shs.cairn.info/revue-communication-et-organisation?lang=fr
COMMU,Communications,,Le Seuil,"Anthropologie; Info, Communication; Sociologie",https://shs.cairn.info/revue-communications?lang=fr
COMMUN,Communio,,Association Communio,Religions et spiritualité,https://shs.cairn.info/revue-communio?lang=fr
CCA,Comptabilité Contrôle Audit,Accounting Auditing Control,Association Francophone de Comptabilité,Gestion,https://shs.cairn.info/revue-comptabilite-controle-audit?lang=fr
COME,Confluences Méditerranée,,Association soutien à la revue Confluences Méditerranée,Géographie; Science politique,https://shs.cairn.info/revue-confluences-mediterranee?lang=fr
CNX,Connexions,,érès,Psychologie,https://shs.cairn.info/revue-connexions?lang=fr
CONST,Constructif,,Fédération Française du Bâtiment,Science politique; Sociologie,https://shs.cairn.info/revue-constructif?lang=fr
CONT,Contraste,Enfance et handicap,érès,Psychologie,https://shs.cairn.info/revue-contraste?lang=fr
CORP1,Corps,,CNRS Éditions,Anthropologie; Sociologie,https://shs.cairn.info/revue-corps?lang=fr
CPSY2,Corps & Psychisme,,Association de la revue Corps & Psychisme,Psychologie,https://shs.cairn.info/revue-corps-et-psychisme?lang=fr
CRIS,Courrier hebdomadaire du CRISP,Centre de recherche et d'information socio-politiques,CRISP,Science politique,https://shs.cairn.info/revue-courrier-hebdomadaire-du-crisp?lang=fr
CRITI,Critique,,Éditions de Minuit,Intérêt général; Littérature,https://shs.cairn.info/revue-critique?lang=fr
CRII,Critique internationale,Revue comparative de sciences sociales,Presses de Sciences Po,Science politique,https://shs.cairn.info/revue-critique-internationale?lang=fr
CULC,Culture chiffres,,Ministère de la Culture - DEPS,"Économie; Info, Communication; Sociologie",https://shs.cairn.info/revue-culture-chiffres?lang=fr
CULM,Culture méthodes,,Ministère de la Culture - DEPS,"Économie; Info, Communication; Sociologie",https://shs.cairn.info/revue-culture-methodes?lang=fr
CULP,Culture prospective,,Ministère de la Culture - DEPS,"Économie; Info, Communication; Sociologie",https://shs.cairn.info/revue-culture-prospective?lang=fr
CULE,Culture études,,Ministère de la Culture - DEPS,"Économie; Info, Communication; Sociologie",https://shs.cairn.info/revue-culture-etudes?lang=fr
CC,Cultures & Conflits,,"Le Centre d'Etudes sur les Conflits, Liberté et Sécurité",Science politique; Sociologie,https://shs.cairn.info/revue-cultures-et-conflits?lang=fr
BREF,Céreq Bref,Bulletin de Recherche Emploi-Formation,Céreq,Économie; Science politique; Sciences de l'éducation,https://shs.cairn.info/revue-cereq-bref?lang=fr
ESSE,Céreq Essentiels,,Céreq,Économie; Sciences de l'éducation,https://shs.cairn.info/revue-cereq-essentiels?lang=fr
CETU,Céreq Etudes,,Céreq,Économie; Sciences de l'éducation,https://shs.cairn.info/revue-cereq-etudes?lang=fr
CEECH,Céreq Échanges,,Céreq,Économie; Science politique; Sciences de l'éducation,https://shs.cairn.info/revue-cereq-echanges?lang=fr
DARD,DARD/DARD,,Éditions de l'Attribut,Géographie; Intérêt général; Science politique,https://shs.cairn.info/revue-dard-dard?lang=fr
DEV,Devenir,Revue européenne du développement de l'enfant,Médecine & Hygiène,Psychologie; Santé publique,https://stm.cairn.info/revue-devenir?lang=fr
DIA,Dialogue,Familles & couples,érès,Psychologie,https://shs.cairn.info/revue-dialogue?lang=fr
DHA,Dialogues d'histoire ancienne,,Presses universitaires de Franche-Comté,Histoire,https://shs.cairn.info/revue-dialogues-d-histoire-ancienne?lang=fr
DIO,Diogène,Revue internationale des sciences humaines,Presses Universitaires de France,Intérêt général; Philosophie; Sociologie,https://shs.cairn.info/revue-diogene?lang=fr
DIS,Distances et savoirs,,JLE,Sciences de l'éducation,https://shs.cairn.info/revue-distances-et-savoirs?lang=fr
DHS,Dix-huitième siècle,,Société Française d'Étude du Dix-Huitième Siècle,Histoire; Littérature; Philosophie,https://shs.cairn.info/revue-dix-huitieme-siecle?lang=fr
DSS,Dix-septième siècle,,Presses Universitaires de France,Histoire; Littérature; Philosophie,https://shs.cairn.info/revue-dix-septieme-siecle?lang=fr
DN,Document numérique,,JLE,"Info, Communication",https://stm.cairn.info/revue-document-numerique?lang=fr
DOBI,Documentation et bibliothèques,,Éditions ASTED,"Info, Communication",https://shs.cairn.info/revue-documentation-et-bibliotheques?lang=fr
DSCRISP,Dossiers du CRISP,,CRISP,Science politique,https://shs.cairn.info/revue-dossiers-du-crisp?lang=fr
DRS1,Droit et société,,Lextenso,Sociologie,https://droit.cairn.info/revue-droit-et-societe?lang=fr
DV,Droit et Ville,,"Institut des Études Juridiques de l'Urbanisme, de la Construction et de l'Habitation",Géographie,https://droit.cairn.info/revue-droit-et-ville?lang=fr
DSSO,"Droit, Santé et Société",,ESKA,Santé publique,https://droit.cairn.info/revue-droit-sante-et-societe?lang=fr
DYRE,Dynamiques régionales,Revue interdisciplinaire de l'IWEPS,"L'Institut wallon de l'évaluation, de la prospective et de la statistique",Économie; Science politique,https://shs.cairn.info/revue-dynamiques-regionales?lang=fr
DM,Décisions Marketing,,EMS Éditions,Gestion,https://shs.cairn.info/revue-decisions-marketing?lang=fr
DELIB,Délibérée,Revue de réflexion critique animée par le Syndicat de la magistrature,,Intérêt général; Science politique,https://droit.cairn.info/revue-deliberee?lang=fr
DERIV,Dérivations,,urbAgora,Arts; Géographie; Sociologie,https://shs.cairn.info/revue-derivations?lang=fr
DEVEL,Développements,,De Boeck Supérieur,Psychologie,https://stm.cairn.info/revue-developpements?lang=fr
DS,Déviance et Société,,Médecine & Hygiène,Sociologie,https://shs.cairn.info/revue-deviance-et-societe?lang=fr
ECOREV,EcoRev',Revue Critique d'Écologie Politique,Association EcoRev',Géographie; Science politique,https://shs.cairn.info/revue-ecorev?lang=fr
EFF,Effeuillage,La revue qui met les médias à nu,Association Effeuillage,"Info, Communication",https://shs.cairn.info/revue-effeuillage?lang=fr
NAFRI,EISMENA,,European Institute for Studies on the Middle East and North Africa,Science politique,https://shs.cairn.info/eismena?lang=fr
EMPA,Empan,Prendre la mesure de l'humain,érès,Psychologie; Travail social,https://shs.cairn.info/revue-empan?lang=fr
ENF2,Enfance,,Presses Universitaires de France,Psychologie,https://shs.cairn.info/revue-enfance?lang=fr
EP,Enfances & Psy,,érès,Psychologie,https://shs.cairn.info/revue-enfances-et-psy?lang=fr
ENTIN,Entreprendre & Innover,,De Boeck Supérieur,Économie; Gestion,https://shs.cairn.info/revue-entreprendre-et-innover?lang=fr
EH,Entreprises et histoire,,ESKA,Économie; Gestion; Histoire,https://shs.cairn.info/revue-entreprises-et-histoire?lang=fr
ENV,Envies de changer !,La revue de la paix économique,Presses universitaires de Bordeaux,Gestion,https://shs.cairn.info/revue-envies-de-changer?lang=fr
ERS,"Environnement, Risques & Santé",,JLE,Santé publique,https://stm.cairn.info/revue-environnement-risques-et-sante?lang=fr
ESP,Espaces et sociétés,,érès,Géographie; Sociologie,https://shs.cairn.info/revue-espaces-et-societes?lang=fr
ESPRI,Esprit,,Éditions Esprit,Intérêt général; Science politique,https://shs.cairn.info/revue-esprit?lang=fr
ESS,Essaim,Revue de psychanalyse,érès,Psychologie,https://shs.cairn.info/revue-essaim?lang=fr
ETHN,Ethnologie française,,Presses Universitaires de France,Anthropologie,https://shs.cairn.info/revue-ethnologie-francaise?lang=fr
ETIC,ETI conquérantes,,École de Paris du management,Gestion,https://shs.cairn.info/revue-eti-conquerantes?lang=fr
EMI,Exils et migrations ibériques aux XXe et XXIe siècles,,Centre d'études et de recherches sur les migrations ibériques,Histoire,https://shs.cairn.info/revue-exils-et-migrations-iberiques?lang=fr
EXTRO,Extrême-Orient Extrême-Occident,,Presses universitaires de Vincennes,Histoire,https://shs.cairn.info/revue-extreme-orient-extreme-occident?lang=fr
FPSY,Feuillets psychanalytiques,,Association Lacanienne Internationale (A.L.I.),Psychologie,https://shs.cairn.info/revue-feuillets-psychanalytiques?lang=fr
FP,Figures de la psychanalyse,Logos - Anankè,érès,Psychologie,https://shs.cairn.info/revue-figures-de-la-psy?lang=fr
FINA,Finance,,Association Française de Finance,Économie; Gestion,https://shs.cairn.info/revue-finance?lang=fr
FBC,Finance & Bien Commun,Revue d'éthique financière,De Boeck Supérieur,Économie; Gestion,https://shs.cairn.info/revue-finance-et-bien-commun?lang=fr
FLUX1,Flux,Cahiers scientifiques internationaux Réseaux et territoires,Université Gustave Eiffel,Géographie; Sociologie,https://shs.cairn.info/revue-flux?lang=fr
FORM,Formation emploi,Revue française de sciences sociales,Céreq,Économie; Sciences de l'éducation; Sociologie,https://shs.cairn.info/revue-formation-emploi?lang=fr
FORUM,Forum,,Champ social,Travail social,https://shs.cairn.info/revue-forum?lang=fr
FFO,France Forum,,Société Union française,Intérêt général; Science politique; Sociologie,https://shs.cairn.info/revue-france-forum?lang=fr
FPCS,"French Politics, Culture & Society",,Berghahn Books,Science politique; Sociologie,https://shs.cairn.info/revue-french-politics-culture-and-society?lang=fr
FUTUR,Futuribles,L'anticipation au service de l'action,Futuribles,Économie; Intérêt général; Science politique; Sociologie,https://shs.cairn.info/revue-futuribles?lang=fr
GEN,Genèses,Sciences sociales et histoire,Belin,Science politique; Sociologie,https://shs.cairn.info/revue-geneses?lang=fr
GERMA,Germanica,,Université de Lille,Littérature,https://shs.cairn.info/revue-germanica?lang=fr
GER,Germinal,,Éditions Le Bord de l'eau,Intérêt général; Science politique; Sociologie,https://shs.cairn.info/revue-germinal?lang=fr
GEST,Gestalt,,Société française de Gestalt,Psychologie,https://shs.cairn.info/revue-gestalt?lang=fr
RIGES,Gestion,Revue Internationale de Gestion,HEC Montréal,Gestion,https://shs.cairn.info/revue-gestion?lang=fr
GFP,Gestion & Finances Publiques,La revue de référence des professionnels des finances publiques,Editechnart,Économie; Gestion; Science politique,https://droit.cairn.info/revue-gestion-et-finances-publiques?lang=fr
GMP,Gestion et management public,,AIRMAP,Gestion,https://shs.cairn.info/revue-gestion-et-management-public?lang=fr
GAP,Gouvernement et action publique,,Presses de Sciences Po,Science politique,https://shs.cairn.info/revue-gouvernement-et-action-publique?lang=fr
GREEN,GREEN,"Géopolitique, Réseau, Énergie, Environnement, Nature",Groupe d'études géopolitiques,Géographie; Science politique,https://shs.cairn.info/revue-green?lang=fr
GRIEF,Grief,Revue sur les mondes du droit,Éditions de l'EHESS,Intérêt général,https://droit.cairn.info/revue-grief?lang=fr
