Code CAIRN,Titre,Sous-titre,Editeur,Disciplines,URL
RHSH,Revue d'Histoire des Sciences Humaines,,Éditions Sciences Humaines,Histoire,https://shs.cairn.info/revue-histoire-des-sciences-humaines?lang=fr
RHD,Revue d'Histoire Diplomatique,,Éditions Pédone,Histoire; Science politique,https://shs.cairn.info/revue-d-histoire-diplomatique?lang=fr
DNS,Revue d'histoire du XIXe siècle,,Société de 1848,Histoire,https://shs.cairn.info/revue-d-histoire-du-dix-neuvieme-siecle?lang=fr
RHLF,Revue d'histoire littéraire de la France,,Presses Universitaires de France,Histoire; Littérature,https://shs.cairn.info/revue-d-histoire-litteraire-de-la-france?lang=fr
RHMC,Revue d'histoire moderne & contemporaine,,Belin,Histoire,https://shs.cairn.info/revue-d-histoire-moderne-et-contemporaine?lang=fr
RHN,Revue d'histoire nordique,,Presses universitaires du Midi,Histoire,https://shs.cairn.info/revue-revue-d-histoire-nordique?lang=fr
EDD,Revue d'économie du développement,,De Boeck Supérieur,Économie; Géographie; Science politique,https://shs.cairn.info/revue-d-economie-du-developpement?lang=fr
ECOFI,Revue d'économie financière,,Association Europe Finances Régulations,Économie,https://shs.cairn.info/revue-d-economie-financiere?lang=fr
REI,Revue d'économie industrielle,,De Boeck Supérieur,Économie,https://shs.cairn.info/revue-d-economie-industrielle?lang=fr
REDP,Revue d'économie politique,,Dalloz,Économie; Science politique,https://shs.cairn.info/revue-d-economie-politique?lang=fr
RERU,Revue d'Économie Régionale & Urbaine,,Armand Colin,Économie,https://shs.cairn.info/revue-d-economie-regionale-et-urbaine?lang=fr
RETM,Revue d'éthique et de théologie morale,,Éditions du Cerf,Religions et spiritualité,https://shs.cairn.info/revue-d-ethique-et-de-theologie-morale?lang=fr
RECEO1,Revue d'études comparatives Est-Ouest,,Presses Universitaires de France,Géographie; Science politique,https://shs.cairn.info/revue-d-etudes-comparatives-est-ouest?lang=fr
REPA,Revue d'études palestiniennes,,Institut des études palestiniennes,Histoire; Science politique,https://shs.cairn.info/revue-d-etudes-palestiniennes?lang=fr
GRHU,Revue de gestion des ressources humaines,,ESKA,Gestion,https://shs.cairn.info/revue-de-gestion-des-ressources-humaines?lang=fr
RDA,Revue de l'art,,Éditions Ophrys,Arts; Histoire,https://shs.cairn.info/revue-de-l-art?lang=fr
READ,Revue de l'enfance et de l'adolescence,RAFEF-GRAPE,érès,Psychologie,https://shs.cairn.info/revue-de-l-enfance-et-de-l-adolescence?lang=fr
ENTRE,Revue de l'Entrepreneuriat / Review of Entrepreneurship,,Académie de l'Entrepreneuriat et de l'Innovation,Économie; Gestion,https://shs.cairn.info/revue-de-l-entrepreneuriat?lang=fr
RHR,Revue de l'histoire des religions,,Armand Colin,Histoire; Religions et spiritualité,https://shs.cairn.info/revue-de-l-histoire-des-religions?lang=fr
CAD,Revue de l'OCDE sur le développement,Dossiers du CAD,Éditions de l'OCDE,Économie,https://shs.cairn.info/revue-de-l-ocde-sur-le-developpement?lang=fr
REOF,Revue de l'OFCE,,OFCE,Économie,https://shs.cairn.info/revue-de-l-ofce?lang=fr
ROR,Revue de l'organisation responsable,Responsible Organization Review,ESKA,Économie; Gestion,https://shs.cairn.info/revue-de-l-organisation-responsable?lang=fr
RBNF,Revue de la BNF,,Bibliothèque nationale de France,"Arts; Info, Communication; Intérêt général",https://shs.cairn.info/revue-de-la-bibliotheque-nationale-de-france?lang=fr
RLC,Revue de littérature comparée,,Klincksieck,Littérature,https://shs.cairn.info/revue-de-litterature-comparee?lang=fr
RMM,Revue de métaphysique et de morale,,Presses Universitaires de France,Philosophie,https://shs.cairn.info/revue-de-metaphysique-et-de-morale?lang=fr
RNE,Revue de neuropsychologie,Neurosciences cognitives et cliniques,JLE,Psychologie,https://stm.cairn.info/revue-de-neuropsychologie?lang=fr
PHIL,"Revue de philologie, de littérature et d'histoire anciennes",,Klincksieck,Histoire; Littérature,https://shs.cairn.info/revue-de-philologie-litterature-et-histoire-anciennes?lang=fr
RPHA,Revue de philosophie ancienne,,Éditions Ousia,Philosophie,https://shs.cairn.info/revue-de-philosophie-ancienne?lang=fr
RPEC,Revue de philosophie économique,,Vrin,Économie; Philosophie,https://shs.cairn.info/revue-de-philosophie-economique?lang=fr
REPO,Revue de Psycho-Oncologie,,Société Française et Francophone de Psycho-Oncologie,Psychologie,https://stm.cairn.info/revue-de-psycho-oncologie?lang=fr
RPPG,Revue de psychothérapie psychanalytique de groupe,,érès,Psychologie,https://shs.cairn.info/revue-de-psychotherapie-psychanalytique-de-groupe?lang=fr
RCCPCL,Revue des Collèges de Clinique psychanalytique du Champ Lacanien,,Hermann,Psychologie,https://shs.cairn.info/revue-des-colleges-de-clinique-psychanalytique-du-champ-lacanien?lang=fr
RD2M,Revue des deux Mondes,,La revue des deux mondes,Intérêt général; Science politique,https://shs.cairn.info/revue-revue-des-deux-mondes?lang=fr
